latent_dim,siamese_hdims,kaiming_constant,dprob,tr_batch_size,val_batch_size,test_batch_size,optimizer,optimizer__global__weight_decay,optimizer__global__lr,prot,weave,gconv,score
512,"[1244, 1174, 1112]",5,0.42263470420171234,128,128,128,adagrad,0.0013638644732908449,0.0012683474014898789,"{'model_type': 'rnn', 'dim': 16, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 28}","{'dim': 50, 'update_pairs': False}",{'dim': 246},-154.0925103510983
128,[1013],5,0.46795305010183286,256,128,128,adadelta,0.014600784066665352,0.006254802236107234,"{'model_type': 'rnn', 'dim': 18, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 18}","{'dim': 50, 'update_pairs': False}",{'dim': 316},-156.20461939815925
256,[1789],5,0.17618292963583693,256,128,128,adagrad,0.6307016215129447,0.00048414399890298954,"{'model_type': 'rnn', 'dim': 21, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 10}","{'dim': 50, 'update_pairs': False}",{'dim': 158},-160.01355339363215
256,"[2007, 877, 1723, 504]",5,0.11810068108575376,256,128,128,adadelta,0.01103569533047757,0.022745759413976174,"{'model_type': 'rnn', 'dim': 28, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 50}","{'dim': 50, 'update_pairs': False}",{'dim': 239},-161.31856198383826
128,"[1487, 966, 1459]",5,0.16973835288830819,128,128,128,adam,0.09150689183796766,0.00020351250556005211,"{'model_type': 'rnn', 'dim': 32, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 15}","{'dim': 50, 'update_pairs': False}",{'dim': 472},-165.57441806403915
512,"[1573, 132, 1507, 1648]",5,0.46822052079832854,128,128,128,adam,0.00014099438518355256,0.0012720717708634877,"{'model_type': 'rnn', 'dim': 26, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 45}","{'dim': 50, 'update_pairs': False}",{'dim': 206},-166.31383108736418
64,"[1180, 790]",5,0.14001863349613772,256,128,128,adagrad,0.0017818300693622743,0.0003528573465409432,"{'model_type': 'rnn', 'dim': 9, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 15}","{'dim': 50, 'update_pairs': False}",{'dim': 349},-195.1291592184054
128,[1544],5,0.16715233275153396,256,128,128,adagrad,0.15700760745614037,0.007660909850190212,"{'model_type': 'rnn', 'dim': 49, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 46}","{'dim': 50, 'update_pairs': False}",{'dim': 431},-202.0350078328115
512,"[1535, 1673]",5,0.4089652956610853,256,128,128,adagrad,0.8438859295711366,0.0011916204030539119,"{'model_type': 'rnn', 'dim': 39, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 37}","{'dim': 50, 'update_pairs': False}",{'dim': 251},-223.2852825023599
512,"[1257, 1534]",5,0.1063295198985233,128,128,128,adam,0.8325824661032986,0.0016244521079121336,"{'model_type': 'rnn', 'dim': 50, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 46}","{'dim': 50, 'update_pairs': False}",{'dim': 401},-241.42531940312546
64,"[622, 1674, 1472]",5,0.16292884800890756,128,128,128,adadelta,0.00012000522214259684,0.01916331688084305,"{'model_type': 'rnn', 'dim': 37, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 36}","{'dim': 50, 'update_pairs': False}",{'dim': 490},-260.1920648683982
256,"[694, 1530, 1245]",5,0.4078872789102399,256,128,128,adamax,0.0001162477614553116,0.0003816393175415991,"{'model_type': 'rnn', 'dim': 26, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 9}","{'dim': 50, 'update_pairs': False}",{'dim': 511},-287.72820043838027
256,"[1107, 213, 1081, 1021]",5,0.38445782460514577,128,128,128,adamax,0.20711719501905598,0.02276999906092641,"{'model_type': 'rnn', 'dim': 23, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 46}","{'dim': 50, 'update_pairs': False}",{'dim': 374},-337.59541213574795
512,"[1440, 997, 1340]",5,0.49328995498603534,128,128,128,adam,0.003540320055477423,0.00020305683590771546,"{'model_type': 'rnn', 'dim': 18, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 19}","{'dim': 50, 'update_pairs': False}",{'dim': 477},-360.60428628098214
64,"[554, 1466, 1514]",5,0.36782819856198035,128,128,128,adadelta,0.18027081006062556,0.06723215902605573,"{'model_type': 'rnn', 'dim': 45, 'vocab_size': 9048, 'window': 11, 'rnn_hidden_state_dim': 26}","{'dim': 50, 'update_pairs': False}",{'dim': 298},-414.1170832568394
